Code,Object Class,Actual FY2022,Estimated FY2023,Revised FY2023,Estimated FY2024,Change Over FY2023
1200,Political Appointments,2616384,2589680,2589680,2680590,90900
1500,Permanent Staff,34768461,40516800,42090800,44893000,2802300
1600,"Temporary, Daily-Rated & Other Staff",44474,47474,72000,47500,-24500
2100,Consumption of Products & Services,30156756,465747500,288963800,360918100,71954300
2300,Manpower Development,517892,874500,1131900,1358700,226800
2400,"International & Public Relations, Public Communications",3260858,6308400,6153000,6092800,-60900
2700,Asset Acquisition,163079,50700,52800,52800,0
2800,Miscellaneous,5,0,0,0,n.a.
3100,"Grants, Subventions & Capital Injections to Statutory Boards",1774569736,1912564200,2071382000,2413626000,342384000
3200,"Grants, Subventions & Capital Injections to Educational Institutions",152485,186000,186000,186000,0
3600,Transfers to Institutions & Organisations,5942042,10580200,14646500,11939200,-2717800
4600,Loans and Advances (Disbursement),261334,34,10334400,34,-10334400
5100,Government Development,783848860,966720900,882022300,530236300,-351786000
5200,Grants & Capital Injections to Organisations,47803133,47275700,23213500,36811300,13597900
5500,Land-Related Expenditure,37786947,42921700,29135200,25191400,-3943800
