Sector/Ministry,Operating $,Expenditure % Allocation,Development $,Development % Allocation,Total $,Expenditure % Allocation
Social Development,"51,529,432,400",58.3,"4,536,137,000",19.4,"56,065,569,400",50.2
Health,"17,396,976,600",19.7,"1,374,852,500",5.9,"18,771,829,100",16.8
Education,"14,132,000,000",16.0,"620,000,000",2.7,"14,752,000,000",13.2
National Development,"7,713,567,200",8.7,"1,299,970,900",5.6,"9,013,538,100",8.1
Social and Family Development,"4,560,874,100",5.2,"124,079,000",0.5,"4,684,953,100",4.2
Sustainability and the Environment,"2,834,244,600",3.2,"567,047,700",2.4,"3,401,292,300",3.0
"Culture, Community and Youth","2,098,737,600",2.4,"349,751,400",1.5,"2,448,489,000",2.2
Manpower,"1,888,086,600",2.1,"710,000",0.0,"1,888,157,600",1.7
Communications and Information,"904,945,900",1.0,"200,364,500",0.9,"1,105,310,200",1.0
Security & External Relations,"27,347,733,500",30.9,"1,723,450,300",7.4,"29,071,183,800",26.0
Defence,"19,344,181,600",21.9,"905,390,200",3.9,"20,249,571,800",18.1
Home Affairs,"7,478,215,300",8.5,"792,560,100",3.4,"8,270,775,400",7.4
Foreign Affairs,"525,336,600",0.6,"25,500,000",0.1,"550,836,600",0.5
Economic Development,"6,080,291,600",6.9,"16,303,328,800",69.9,"22,383,620,400",20.0
Transport,"2,446,931,800",2.8,"11,791,771,900",50.5,"14,238,703,700",12.7
Trade and Industry,"1,628,705,600",1.8,"4,342,579,400",18.6,"5,971,285,000",5.3
Manpower,"1,168,777,700",1.3,"131,800,700",0.6,"1,300,578,400",1.2
Communications and Information,"835,876,500",0.9,"37,176,800",0.2,"873,053,300",0.8
Government Administration,"3,472,335,100",3.9,"765,534,600",3.3,"4,237,869,700",3.8
Finance,"1,186,824,200",1.3,"161,511,500",0.7,"1,348,335,700",1.2
Organs of State,"750,049,700",0.8,"65,450,500",0.3,"815,500,200",0.7
Communications and Information,"637,440,300",0.7,"89,713,500",0.4,"727,153,800",0.7
Prime Minister's Office,"619,147,000",0.7,"61,955,200",0.3,"681,102,200",0.6
Law,"278,873,900",0.3,"386,904,000",1.7,"665,777,900",0.6
Total Expenditure,"88,429,792,600",100,"23,328,450,700",100,"111,758,243,300",100
